FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",1/1/2016,DISORDERLY HOUSE,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,5/31/2016
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",5/18/2016,DISORDERLY HOUSE,"HEARING; $4,000 FINE",9/15/2016
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",3/26/2016,NOISE/DISTURBANCE OF THE NEIGHBORHOOD,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,5/31/2016
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",3/27/2016,DISORDERLY HOUSE,HEARING; LICENSE REVOKED,10/5/2016
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",3/27/2016,INSPECTIONS GENERALLY,HEARING; LICENSE REVOKED,10/5/2016
TEXAS PARRILLADA,"9631 LOST KNIFE ROAD , GAITHERSBURG, MD 20879",5/22/2016,DISORDERLY HOUSE,HEARING; NOT GUILTY,8/4/2016
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",3/27/2016,ACTS CONTRARY TO LAW,HEARING; LICENSE REVOKED,10/5/2016
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",3/27/2016,NOISE/DISTURBANCE OF THE NEIGHBORHOOD,HEARING; LICENSE REVOKED,10/5/2016
BRIGHTON BEER & WINE,"225 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",12/1/2016,WINDOW TINTING,SETTLED; $500.00 + ALERT,12/27/2016
TALBOTT BEER & WINE,"1071 ROCKVILLE PIKE , ROCKVILLE, MD 20852",12/30/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/30/2017
WOK EXPRESS,"9615 LOST KNIFE ROAD , GAITHERSBURG, MD 20877",4/4/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,6/8/2016
MEXICAN GRILL,"19710 FISHER AVENUE , POOLESVILLE, MD 20837",12/2/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/3/2017
THE BURGER JOINT,"229 BOARD WALK PLACE , BETHESDA, MD 20814",5/25/2016,SALE TO MINOR,"SETTLED; $2,500.00 + ALERT",7/12/2016
